id,year,rvote,age,female,black,white,otherrace,educ,family_income,south,college
962,2000,0,58,1,0,0,1,1,1,0,0
963,2000,0,49,1,0,1,0,2,4,0,0
964,2000,1,32,0,0,1,0,4,4,0,1
965,2000,0,39,1,0,1,0,3,4,0,0
966,2000,0,41,1,1,0,0,3,3,0,0
967,2000,0,40,0,0,1,0,2,3,0,0
968,2000,0,44,1,0,0,1,3,3,0,0
969,2000,0,49,0,0,1,0,4,4,0,1
970,2000,0,31,1,0,1,0,2,1,0,0
971,2000,1,60,0,0,1,0,4,2,1,1
972,2000,0,32,0,1,0,0,4,4,0,1
973,2000,1,32,1,0,1,0,4,4,0,1
974,2000,1,23,0,0,0,1,3,2,1,0
975,2000,0,32,0,0,1,0,2,4,0,0
976,2000,0,25,1,0,1,0,4,2,0,1
977,2000,1,44,1,0,1,0,4,3,0,1
978,2000,0,30,1,0,1,0,4,4,1,1
979,2000,0,49,1,0,1,0,4,4,0,1
980,2000,0,29,0,0,1,0,4,3,0,1
981,2000,0,55,1,0,1,0,2,4,0,0
982,2000,0,55,1,1,0,0,2,1,0,0
983,2000,1,42,1,0,1,0,2,4,0,0
984,2000,0,45,0,0,0,1,3,4,0,0
985,2000,1,28,0,0,1,0,2,4,1,0
986,2000,0,39,0,0,1,0,3,4,1,0
987,2000,1,39,0,0,1,0,4,4,1,1
988,2000,0,33,1,0,1,0,3,2,1,0
989,2000,0,22,0,0,1,0,2,5,1,0
990,2000,1,34,0,0,1,0,2,4,1,0
991,2000,1,34,0,0,1,0,2,3,1,0
992,2000,1,32,0,0,1,0,3,2,1,0
993,2000,1,42,0,0,1,0,2,4,1,0
994,2000,1,39,0,0,1,0,4,4,0,1
995,2000,0,36,0,0,1,0,4,3,0,1
996,2000,0,36,0,1,0,0,4,4,1,1
997,2000,0,42,0,0,1,0,2,4,0,0
998,2000,1,56,1,0,1,0,4,3,0,1
999,2000,0,28,1,0,0,1,4,4,0,1
1000,2000,0,41,1,0,1,0,4,2,0,1
1001,2000,0,38,0,0,1,0,3,2,0,0
1002,2000,1,57,0,0,1,0,4,5,0,1
1003,2000,0,44,0,0,1,0,4,3,0,1
1004,2000,0,28,1,0,0,1,2,2,0,0
1005,2000,0,28,1,0,1,0,4,1,1,1
1006,2000,0,36,1,0,1,0,4,2,0,1
1007,2000,1,47,1,0,1,0,3,3,0,0
1008,2000,0,37,1,0,1,0,4,4,0,1
1009,2000,0,38,1,0,1,0,2,2,0,0
1010,2000,0,36,0,0,1,0,3,3,0,0
1011,2000,1,48,0,0,0,1,3,3,0,0
1012,2000,1,51,1,0,1,0,2,3,0,0
1013,2000,0,52,1,0,1,0,2,2,0,0
1014,2000,0,23,0,0,1,0,3,4,0,0
1015,2000,0,36,1,0,1,0,4,3,0,1
